source,target,weight,type
n7,n2300,1,MAJ
n15,n122,1,MAJ
n15,n163,1,MAJ
n15,n215,1,MAJ
n15,n459,1,MAJ
n15,n512,1,MAJ
n15,n542,1,MAJ
n15,n610,1,MAJ
n15,n702,1,MAJ
n15,n1108,1,MAJ
n15,n1168,1,MAJ
n15,n1339,1,MAJ
n15,n1357,1,MAJ
n15,n2065,1,MAJ
n15,n2167,1,MAJ
n15,n2425,1,MAJ
n15,n2495,1,MAJ
n15,n2610,1,MAJ
n15,n2863,1,MAJ
n15,n2951,1,MAJ
n15,n3039,1,MAJ
n15,n3421,1,MAJ
n15,n3477,1,MAJ
n15,n3488,1,MAJ
n15,n3571,1,MAJ
n15,n3575,1,MAJ
n15,n4588,1,MAJ
n27,n45,1,MAJ
n27,n124,2,BOTH
n27,n181,1,UNIT
n27,n230,1,MAJ
n27,n285,2,BOTH
n27,n287,1,UNIT
n27,n384,1,MAJ
n27,n428,1,UNIT
n27,n509,1,MAJ
n27,n605,1,UNIT
n27,n624,1,UNIT
n27,n642,1,MAJ
n27,n708,1,UNIT
n27,n836,1,UNIT
n27,n890,1,MAJ
n27,n892,1,UNIT
n27,n1002,1,MAJ
n27,n1138,1,MAJ
n27,n1269,1,MAJ
n27,n1443,2,BOTH
n27,n1707,1,MAJ
n27,n1759,1,MAJ
n27,n2085,1,MAJ
n27,n2165,1,UNIT
n27,n2231,1,UNIT
n27,n2250,1,UNIT
n27,n2274,1,UNIT
n27,n2327,1,MAJ
n27,n2448,1,MAJ
n27,n2503,1,MAJ
n27,n2614,1,MAJ
n27,n2620,1,UNIT
n27,n2623,1,UNIT
n27,n2657,1,MAJ
n27,n2663,1,MAJ
n27,n2667,1,MAJ
n27,n2669,1,UNIT
n27,n2704,1,MAJ
n27,n2715,1,UNIT
n27,n2733,1,MAJ
n27,n2809,1,MAJ
n27,n2816,1,UNIT
n27,n2830,1,MAJ
n27,n2834,1,MAJ
n27,n2846,1,UNIT
n27,n2962,1,UNIT
n27,n2965,1,UNIT
n27,n3036,1,MAJ
n27,n3070,1,MAJ
n27,n3097,1,MAJ
n27,n3102,1,UNIT
n27,n3180,1,UNIT
n27,n3259,1,MAJ
n27,n3393,1,UNIT
n27,n3403,1,MAJ
n27,n3472,1,MAJ
n27,n3493,1,MAJ
n27,n3559,1,UNIT
n27,n3647,1,UNIT
n27,n3695,1,MAJ
n27,n3696,1,MAJ
n27,n3701,1,MAJ
n27,n3731,1,MAJ
n27,n3741,1,MAJ
