node_id,name,school,major,military_unit,degree,betweenness_rank,community,unit731
n7,青木 九一郎,Kyoto Imperial University,aviation medicine,Unknown,1,363,0,0
n15,青木 義勇,Nagasaki Medical University,bacteriology,Unknown,26,262,0,0
n27,赤倉 一郎,Keio University,surgery,affiliated hospital,76,30,1,0
n31,明石 勝英,Hokkaido Imperial University,Obstetrics and gynecology,Unknown,14,292,8,0
n45,秋田 八年,Kyushu Imperial University,surgery,Unknown,49,224,1,0
n46,秋松 純一,Kyushu Imperial University,Otorhinolaryngology,Unknown,14,129,3,0
n74,浅野 誠一,Keio University,Internal medicine,Unknown,85,156,4,0
n85,朝山 新一,Kyoto Imperial University,"embryology, sexology",Unknown,1,364,5,0
n96,麻生 徹男,Kyushu Imperial University,Obstetrics and gynecology,Unknown,14,293,8,0
n102,阿知波 五郎,Kyushu Imperial University,"Internal medicine, Medical history",Unknown,88,87,4,0
n110,安倍 三史,Hokkaido Imperial University,hygiene,Unknown,17,337,6,0
n112,阿部 達夫,Keio University,"Internal medicine, Nutrition",Saiseikai Yokohama City Nanbu Hospital,87,18,4,0
n117,天岸 敏介,Osaka Medical University,"Microbiology, Hygiene, Ophthalmology",Unknown,40,15,6,0
n119,天児 民和,Kyushu Imperial University,orthopedic surgery,"Affiliated Hospital, Kyushu Rosai Hospital",35,79,8,0
n122,天野 恒久,Osaka Imperial University,bacteriology,National Osaka Hospital,26,263,0,0
n124,綾部 正大,Kyushu Imperial University,surgery,affiliated hospital,76,31,1,0
n130,新井 恒人,Hokkaido Imperial University,pathology,Unknown,25,319,7,0
n142,有賀 槐三,Nihon University Specialized Department,Internal medicine,Surugadai Nihon University Hospital,85,157,4,0
n143,有末 四郎,Hokkaido Imperial University,"Internal medicine, Welfare administration",Unknown,95,19,4,0
n163,安東 洪次,Tokyo Imperial University,bacteriology,Unknown,26,264,0,1
n180,飯沼 巖,Nagoya Medical University,ophthalmology,Wakayama Rosai Hospital,21,305,6,0
n181,飯野 三郎,Tokyo Imperial University,orthopedic surgery,affiliated hospital,49,57,8,0
n184,家原 小文治,Kyushu Imperial University,Internal medicine,Harbin Military Hospital,85,158,4,0
n186,庵 政三,Kanazawa Medical University,"Internal medicine, community medicine",Unknown,86,106,4,0
n204,池松 武之亮,Daegu Medical College,Otorhinolaryngology,Unknown,14,130,3,0
n208,伊崎 正勝,Keio University,"Dermatology, Hansen's disease medicine",Unknown,14,144,8,0
n209,伊沢 一男,Meiji Pharmaceutical College,Pharmacy,Unknown,4,365,9,0
n215,石井 四郎,Kyoto Imperial University,bacteriology,"Manchurian Unit 731, Army Medical College",42,7,0,1
n216,石井 善一郎,Tokyo Imperial University,pathology,Saku General Hospital,25,320,7,0
n222,石垣 純二,Tokyo Imperial University,"Welfare administration, medical critic",Unknown,11,354,10,0
n228,石川 清,Chiba Medical University,ophthalmology,Unknown,21,306,6,0
n230,石川 七郎,Keio University,surgery,Unknown,49,225,1,0
n233,石川 太刀雄,Kyoto Imperial University,"Pathology, Oriental medicine",Unknown,26,55,7,1
n263,石館 守三,Tokyo Imperial University,Pharmacy,Unknown,4,366,9,0
n265,石津 寛,Tokyo Imperial University,ophthalmology,"Army Medical College, Japanese Red Cross Hospital",35,53,6,0
n268,石塚 直隆,Osaka Imperial University,Obstetrics and gynecology,Unknown,14,294,8,0
n271,石橋 卯吉,Keio University,Welfare administration,Unknown,11,355,10,0
n275,石橋 豊彦,Chiba Medical University,pathology,Unknown,25,321,7,0
n285,石原 恵三,Tokyo Imperial University,surgery,affiliated hospital,76,32,1,0
n286,石原 忍,Tokyo Imperial University,ophthalmology,"Army Medical College, Tokyo Teishin Hospital",37,43,6,0
n287,石原 寿郎,Tokyo Imperial University,dental,affiliated hospital,32,93,8,0
n292,石光 薫,Tokyo Imperial University,Internal medicine,Unknown,85,159,4,1
n309,板垣 政参,Kyoto Imperial University,physiology,Unknown,9,367,11,0
n338,伊藤 昌一,Tohoku Imperial University,anatomy,Unknown,15,368,5,0
n339,伊藤 真次,Nagoya Medical University,physiology,Unknown,9,369,11,0
n364,稲垣 克彦,Tokyo Imperial University,Internal medicine,Tokyo Police Hospital,86,112,4,0
n373,稲臣 成一,Okayama Medical University,parasitology,Kagawa Rosai Hospital,7,370,12,0
n384,伊能 秀記,Tokyo Medical College,surgery,Ryogoku Hospital,49,226,1,0
n395,井上 五郎,Kyoto Prefectural University of Medicine,nutrition,Unknown,2,371,13,0
n403,井上 達二,Tokyo Imperial University,ophthalmology,Inoue Eye Hospital,21,307,6,0
n410,井上 義弘,Taipei Medical College,Ground Self-Defense Force medical officer,Unknown,1,372,0,0
n414,猪瀬 正,Tokyo Imperial University,psychiatry,Unknown,19,282,7,0
n421,今泉 恭二郎,Kyushu Imperial University,psychiatry,Osaka Kaisei Hospital,19,283,7,0
n428,井街 譲,Kyoto Imperial University,ophthalmology,affiliated hospital,51,5,6,0
n459,岩田 和夫,Tokyo Imperial University,bacteriology,Unknown,26,265,0,0
n460,岩田 繁雄,Kyoto Imperial University,Internal medicine,Unknown,85,160,4,0
n470,岩原 寅猪,Keio University,orthopedic surgery,Unknown,21,212,8,0
n484,上田 英雄,Tokyo Imperial University,"Internal medicine (cardiology, hepatology)","Affiliated Hospital, Chuo Railway Hospital",95,60,4,0
n497,上野 幸久,Tokyo Imperial University,Internal medicine,Unknown,85,161,4,0
n502,植村 秀一,Aichi Medical College,"Internal medicine, Welfare administration",Unknown,95,20,4,0
n509,宇治 達郎,Tokyo Imperial University,surgery,Uji Hospital,49,227,1,0
n512,牛場 大蔵,Keio University,"Bacteriology, Medical Education",Unknown,28,78,0,0
n519,内田 誉,Osaka Imperial University,Internal medicine,National Health Insurance Hyogo Central Hospital,85,162,4,0
n542,梅沢 浜夫,Tokyo Imperial University,bacteriology,Unknown,26,266,0,0
n549,梅原 千治,Tokyo Imperial University,Internal medicine,Unknown,85,163,4,0
n596,大江 規玄,Tokyo Imperial University,anatomy,Unknown,15,373,5,0
n605,大久保 滉,Kyoto Imperial University,Internal medicine,affiliated hospital,111,24,4,0
n607,大熊 篤二,Tokyo Imperial University,ophthalmology,Unknown,21,308,6,0
